station_name,cid,Office_ratio,Culture_ratio,Education_ratio,Sports_ratio,Healthcare_ratio,Commercial_ratio,Nature_ratio,Greenspace_ratio,Transport_ratio,Special_ratio,Industrial_ratio,Residential_ratio,Utilities_ratio,water_rati
荔湾西村,27408,0.0,0.0,0.644876215,0.0,0.0,0.032381016,0.053070229,0.0,0.035620298,0.0,0.0,0.23257218,0.000984787,0.0
海珠宝岗,24288,0.0,0.0,0.557228872,0.145940391,0.0,0.009915742,0.0,0.0,0.101285291,0.0,0.0,0.163592317,0.021510286,0.0
公园前,26738,0.335516326,0.250908321,0.0,0.0,0.0,0.084198052,0.0,0.0,0.299782877,0.0,0.0,0.022357172,0.006712937,0.0
天河体育西,26764,0.00775221,0.0,0.028253184,0.0,0.0,0.226852525,0.0,0.0,0.266763538,0.0,0.0,0.447496864,0.022281801,0.0
越秀麓湖,29005,0.0,0.0,0.0,0.0,0.0,0.221713793,0.263890147,0.0,0.118131331,0.395719859,0.0,0.0,0.0,0.036675922
海珠赤沙,23517,0.004710785,0.0,0.990122406,0.0,0.0,0.0,0.0,0.0,0.002835548,0.0,0.0,0.001699002,0.0,0.0
黄埔大沙地,24525,0.0,0.0,0.507038668,0.0,0.0,0.195545226,0.001295615,0.0,0.079572371,0.0,0.0,0.21581469,0.0,0.0
番禺市桥,15389,0.078620272,0.0,0.562126786,0.000438082,0.0,0.0,0.047619425,0.0,0.113343617,0.0,0.0,0.197214008,0.0,0.031659313
花都新华,64000,0.0,0.0,0.209051367,0.0,0.0,0.0,0.586551895,0.0,0.0,0.141086477,0.0,0.062843917,0.0,0.0
黄埔镇龙,51086,0.0,0.0,0.294346207,0.0,0.0,0.0,0.62430811,0.0,0.004284608,0.0,0.0,0.076180637,0.0,0.0
从化良口,109511,0.0,0.0,0.0,0.011027628,0.0,0.01943248,0.911998345,0.0,0.037860606,0.0,0.0,0.018547212,0.0,0.541879601
从化街口,90682,0.0,0.004247728,0.590379213,0.0,0.0,0.0,0.037858732,0.0,0.0,0.0,0.0,0.366628856,0.0,0.0
花都梯面,90567,0.0364196,0.0,0.142155971,0.0,0.0,0.015442921,0.03188602,0.0,0.170456426,0.022997157,0.0,0.541956313,0.038132312,0.0
白云竹料,60333,0.090257745,0.0,0.0,0.0,0.0,0.099405296,0.339799789,0.0,0.050956115,0.0,0.012303716,0.354365727,0.05228576,0.321270252
白云嘉禾,39627,0.013215959,0.0,0.0,0.0,0.0,0.0,0.0,0.041063085,0.271655427,0.0,0.0,0.673497558,0.0,0.0
增城荔城,44146,0.0,0.0,0.0,0.0,0.0,0.0,0.388196152,0.585744914,0.02488853,0.0,0.0,0.0,0.0,0.362628017
黄埔科学城,31556,0.0,0.0,0.0,0.0,0.0,0.047275199,0.474759913,0.0,0.04650552,0.0,0.430737975,0.0,0.0,0.0
番禺大学城,20675,0.277766614,0.0,0.0,0.0,0.0,0.209487149,0.274617809,0.0,0.145622316,0.0,0.0,0.091818923,0.0,0.0
南沙黄阁,8746,0.0,0.0,0.517649664,0.0,0.06189637,0.0,0.200985204,0.0,0.118103664,0.0,0.0,0.100555742,0.0,0.0
南沙街,7517,0.0,0.0,0.730386438,0.0,0.0,0.0,0.259682857,0.0,0.009068933,0.0,0.0,0.0,0.0,0.0
帽峰山,49254,0.0,0.0,0.0,0.0,0.0,0.0,0.98097948,0.0,0.013891947,0.0,0.0,0.00438981,0.0,0.0
花都花东,75285,0.0,0.0,0.151394442,0.0,0.0,0.0,0.847997236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
花都赤坭,72655,0.0,0.037192511,0.084130846,0.0,0.0,0.007426303,0.49635804,0.0,0.043853253,0.0,0.0,0.330754673,0.0,0.0
增城派潭,83830,0.190399974,0.008689133,0.0,0.0,0.0,0.0,0.4979119,0.0,0.028601371,0.012252276,0.0,0.261012889,0.0,0.0
增城中新,52596,0.011544232,0.020143391,0.0,0.0,0.0,0.0,0.59082279,0.0,0.054643484,0.0,0.027701345,0.294200485,0.0,0.0
增城石滩,34273,0.067306934,0.0,0.0,0.690041641,0.0,0.0598535,0.169937824,0.0,0.011700664,0.0,0.0,0.0,0.0,0.0
增城新塘,26262,0.727184234,0.005892144,0.0,0.0,0.0,0.0,0.095119917,0.147835166,0.023020788,0.0,0.0,0.0,0.0,0.0
白云江高,43593,0.0,0.0,0.171731839,0.0,0.0,0.0,0.332324596,0.0093556,0.115457973,0.0,0.249955478,0.120699454,0.0,0.214041779
白云石井,38100,0.0,0.0,0.0,0.0,0.0,0.0,0.87705657,0.0,0.0,0.0,0.0,0.12244545,0.0,0.687414131
白云新市,31205,0.0,0.15812701,0.0,0.0,0.0,0.176581852,0.01270439,0.0,0.23485235,0.001549017,0.0,0.415658309,0.0,0.0
白云山,33786,0.0,0.0,0.0,0.0,0.0,0.0,0.796964627,0.0,0.0,0.202461458,0.0,0.0,0.0,0.0
黄埔永和,35874,0.0,0.0,0.0,0.0,0.0,0.0,0.025183478,0.0,0.057639508,0.0,0.89831532,0.017995279,0.0,0.0
黄埔西区,21757,0.036824777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.180903024,0.0,0.781428715,0.0,0.0,0.0
凤凰山,39053,0.0,0.0,0.0,0.0,0.0,0.0,0.998711853,0.0,0.0,0.000638827,0.0,0.0,0.0,0.0
天河龙洞,34663,0.0,0.003947155,0.289869154,0.060380101,0.0,0.326750257,0.0,0.0,0.214843101,0.0,0.020981831,0.046987209,0.035597766,0.0
天河五山,29312,0.0,0.0,0.622079743,0.0,0.0,0.0,0.143530661,0.0,0.233752301,0.0,0.0,0.0,0.0,0.0
天河奥体,28512,0.0,0.0,0.239422032,0.0,0.0,0.305868708,0.0,0.009904787,0.311796646,0.0,0.0,0.132309636,0.0,0.0
荔湾芳村,22398,0.0,0.0,0.225013298,0.0,0.0,0.171744903,0.04502441,0.0,0.267625758,0.0,0.055447634,0.234660547,0.0,0.043943371
海珠沙园,23481,0.0,0.0,0.076573152,0.0,0.0,0.212516638,0.004210758,0.0,0.07637333,0.0,0.011026606,0.618765457,6.63e-06,0.001736652
海珠湖,22436,0.0,0.0,0.0,0.0,0.0,0.003566139,0.987566585,0.0,0.0,0.008273357,0.0,0.0,0.0,0.842314613
番禺大石,19535,0.0,0.0,0.0,0.0,0.0,0.085290254,0.508753873,0.0,0.052098868,0.0,0.0,0.167535742,0.185771118,0.467721428
番禺南村,18678,0.0,0.0,0.131408712,0.064400858,0.0,0.0,0.445992138,0.0,0.094204374,0.0,0.092678578,0.169834698,0.000816773,0.0
番禺亚运城,16859,0.118239412,0.0,0.320969098,0.0,0.0,0.013439384,0.000513413,0.0,0.117480675,0.0,0.0,0.425975725,0.002587875,0.0
番禺大夫山,15711,0.0,0.0,0.0,0.0,0.0,0.0,0.977926418,0.0,0.0,0.02148528,0.0,0.0,0.0,0.0
番禺沙湾,13437,0.093280023,0.0,0.24375981,0.0,0.000457222,0.021273202,0.0,0.009209027,0.231384652,0.0,0.0,0.400012656,0.0,0.0
南沙榄核,9521,0.023562824,0.017580706,0.0,0.0,0.0,0.0,0.022006939,0.04416181,0.33283041,0.0,0.010676438,0.545359959,0.003197753,0.0
南沙沙螺湾,8997,0.08090003,0.003352739,0.0,0.0,0.00273118,0.116206248,0.143380895,0.0,0.315464374,0.0,0.0,0.332920513,0.004167793,0.0
南沙蒲州,6866,0.0,0.034457509,0.0,0.0,0.0,0.424057643,0.21309525,0.0,0.327443431,0.0,0.0,0.0,0.0,0.150346949
南沙新垦,904,0.0,0.0,0.0,0.0,0.0,0.009102403,0.743256672,0.0,0.105924333,0.00288395,0.055544467,0.0,0.082303841,0.514529499
杨箕路边站,26337,0.038311201,0.0,0.028326165,0.0,0.0,0.040060763,0.0,0.0,0.245890931,0.0,0.0,0.646837324,0.0,0.0
黄沙路边站,25337,0.126395163,0.003316077,0.065389153,0.0,0.0,0.007322796,0.0,0.0,0.302988714,0.0,0.202734597,0.29136664,0.0,0.0
增城正果,70058,0.0,0.0,0.376662557,0.0,0.0,0.0,0.324824203,0.0,0.022736678,0.0,0.231688762,0.042828145,0.0,0.0
增城小楼,63840,0.044982152,0.0,0.0,0.0,0.0,0.233709734,0.382827619,0.019547333,0.174183644,0.0,0.061483966,0.012622676,0.069449843,0.207960764
黄埔长岭,37317,0.0,0.0,0.304023108,0.0,0.0,0.0,0.512502513,0.0,0.014683654,0.0,0.0,0.167982527,0.0,0.0
黄埔萝岗,32444,0.0,0.0,0.0,0.0,0.0,0.160571727,0.019704111,0.0,0.22708795,0.0,0.0,0.591821386,0.0,0.0
